code_plan,operator,message
GE26,INS-06,Owing to a {xxx} between Diss and Norwich The line is currently closed.
GE26,INS-06,A rail replacement bus service is being established/ in operation between Diss and Norwich.
GE26,INS-07,Contingency train service plan GE26 is in operation/ being implemented
GE26,INS-07,with no/ the following variations.
GE26,INS-08,Greater Anglia Service Update at xx:xx
GE26,INS-08,"Owing to a xxx between Diss and Norwich, the line is currently closed. We expect the line to reopen at xxx / the line is currently closed and we are"
GE26,INS-08,working to assess the problem / The line has now reopened and we are working to return train services to normal.
GE26,INS-08,Train services are operating between London and Diss. We expect this to continue until approximately xx:xx
GE26,INS-08,London Ð Norwich
GE26,INS-08,Customers to/ from Norwich and London are advised to travel via Cambridge and GTR services to/from London Kings Cross.
GE26,INS-08,Trains are operating at a half hour frequency between London and Diss.
GE26,INS-08,All other Greater Anglia Routes: There is currently a good service running on all other routes.
